21,8,78485.50999999999
1,1,1,0,2
2,1,7,0,2
4,1,6,0,3
5,1,4,0,2
6,1,3,0,5
7,1,8,0,2
7,2,7,0,3
9,1,4,4,1
10,1,3,2,2
10,2,1,1,0
11,2,1,3,0
11,3,8,2,0
12,1,1,0,1
13,1,2,0,2
13,2,5,0,2
15,4,4,1,0
15,5,3,3,0
16,1,5,2,0
17,1,5,2,0
18,1,3,4,0
19,8,5,2,0
20,1,7,0,3
20,2,3,0,1
21,1,2,0,1
21,2,7,0,2
21,3,4,0,1
